Index,Estimator,Horizon,Model,QLIKE,RMSE,MAE,QLIKE_rank
DJIA,CC,5,CNN_LSTM,-8.394412339290744,0.000247916788394795,0.00010469345503609377,3.0
DJIA,CC,5,Transformer,-8.405661898875783,0.00023827778582127438,9.700635586945558e-05,2.0
DJIA,CC,5,PatchTST_lite,-8.321697886661996,0.00024258885257584102,9.744627590544061e-05,5.0
DJIA,CC,22,HAR,-5.839776937410446,0.00025008959984702134,8.336098296644254e-05,7.0
DJIA,CC,22,ARIMA,-6.161580724592828,0.0002497238882856236,8.302739493812448e-05,6.0
DJIA,CC,22,GARCH,-8.33356198813536,0.0002452150670899879,0.00011331408805718175,3.0
DJIA,CC,22,LSTM,-8.351095117433399,0.00024170107079960528,0.00010109532352823188,1.0
DJIA,CC,22,CNN_LSTM,-8.090724475914293,0.0002461031052149892,9.967345320977493e-05,5.0
DJIA,CC,22,Transformer,-8.34018923582358,0.00024051957739222937,0.00011076759023272499,2.0
DJIA,CC,22,PatchTST_lite,-8.235700619380186,0.00024934920619793297,0.00013586280869621865,4.0
DJIA,Parkinson,1,HAR,-8.805570035274865,0.00011005504311239486,3.801153955686139e-05,6.0
DJIA,Parkinson,1,ARIMA,-8.814066881319166,0.00011141254161916588,3.785218883647869e-05,5.0
DJIA,Parkinson,1,GARCH,-8.77249705759213,0.00012065932233428925,6.202327320543692e-05,7.0
DJIA,Parkinson,1,LSTM,-8.874020747467442,8.565356102528698e-05,4.1192228764933207e-05,1.0
DJIA,Parkinson,1,CNN_LSTM,-8.870424656955231,9.551734328717812e-05,4.174597673326611e-05,3.0
DJIA,Parkinson,1,Transformer,-8.873560843337893,9.136073610957258e-05,4.167060035976198e-05,2.0
DJIA,Parkinson,1,PatchTST_lite,-8.834798912212113,9.75460217677701e-05,4.579741030533956e-05,4.0
DJIA,Parkinson,5,HAR,-8.652304487879558,0.00012135754383447798,4.235703838718671e-05,7.0
DJIA,Parkinson,5,ARIMA,-8.663499442402117,0.00012073394559809058,4.186445039572445e-05,6.0
DJIA,Parkinson,5,GARCH,-8.669320044775422,0.00013949369810731992,6.962771111257298e-05,5.0
DJIA,Parkinson,5,LSTM,-8.75566957161506,0.00013103752432689394,5.4965720568012274e-05,1.0
DJIA,Parkinson,5,CNN_LSTM,-8.75231657365674,0.00012769917072025778,5.1989260767912485e-05,2.0
DJIA,Parkinson,5,Transformer,-8.7034767884099,0.00012807887880281183,5.1267074778052886e-05,4.0
DJIA,Parkinson,5,PatchTST_lite,-8.719938251571564,0.00012092500709445808,4.759069238118599e-05,3.0
DJIA,Parkinson,22,HAR,-8.588037796245011,0.00012391506275795676,4.491952487394424e-05,6.0
DJIA,Parkinson,22,ARIMA,-8.583984250479542,0.00012330385236131668,4.457381488070074e-05,7.0
DJIA,Parkinson,22,GARCH,-8.589001095124635,0.0001434045143500457,8.124671759506714e-05,5.0
DJIA,Parkinson,22,LSTM,-8.699574332316052,0.00012759241380778434,5.7948467289653696e-05,1.0
DJIA,Parkinson,22,CNN_LSTM,-8.662444495710632,0.000126456989651851,5.8767716258487676e-05,3.0
DJIA,Parkinson,22,Transformer,-8.636622465747257,0.0001244886228801792,5.042180247502081e-05,4.0
DJIA,Parkinson,22,PatchTST_lite,-8.66414768743768,0.00012621048137871217,5.913981197479175e-05,2.0
DJIA,YangZhang,1,HAR,-8.69964542512473,7.181110022985074e-06,3.203792165078183e-06,2.0
DJIA,YangZhang,1,ARIMA,-8.699661670006174,7.317262610572205e-06,3.2441676289328472e-06,1.0
DJIA,YangZhang,1,GARCH,-8.619871308950486,5.721813780972373e-05,3.1202715565204594e-05,7.0
DJIA,YangZhang,1,LSTM,-8.698604925533836,7.632627926112664e-06,4.305847398572169e-06,4.0
DJIA,YangZhang,1,CNN_LSTM,-8.698790396388667,8.912199810062952e-06,4.599779439813059e-06,3.0
DJIA,YangZhang,1,Transformer,-8.68954319308695,1.6126525489750876e-05,9.88323536954401e-06,5.0
DJIA,YangZhang,1,PatchTST_lite,-8.67633864903152,2.9963530169303886e-05,1.50564361769812e-05,6.0
DJIA,YangZhang,5,HAR,-8.675193079470466,2.7353595943605994e-05,1.2524214525529345e-05,3.0
DJIA,YangZhang,5,ARIMA,-8.67539246143923,2.8343102786914643e-05,1.2702016723432223e-05,2.0
DJIA,YangZhang,5,GARCH,-8.612988455429674,4.896770690330945e-05,3.049518143626783e-05,7.0
DJIA,YangZhang,5,LSTM,-8.677416927810336,2.55031614308578e-05,1.1501640602564408e-05,1.0
DJIA,YangZhang,5,CNN_LSTM,-8.674550281562174,2.6808567514162988e-05,1.2754974835912548e-05,4.0
DJIA,YangZhang,5,Transformer,-8.671692218214135,2.8685334042601974e-05,1.4167718909367024e-05,5.0
DJIA,YangZhang,5,PatchTST_lite,-8.65596492163227,3.449315003320468e-05,1.7501079709556813e-05,6.0
DJIA,YangZhang,22,HAR,-8.503621742751037,6.69010774375732e-05,3.663771957440368e-05,2.0
DJIA,YangZhang,22,ARIMA,-8.473679542885625,7.569960974092804e-05,4.158874240144243e-05,5.0
DJIA,YangZhang,22,GARCH,-8.477427434654832,8.389868931510902e-05,5.4970624506753586e-05,4.0
DJIA,YangZhang,22,LSTM,-8.524923124742559,7.376809153577817e-05,3.513373220236937e-05,1.0
DJIA,YangZhang,22,CNN_LSTM,-8.438534844698994,6.961619132627834e-05,3.55447706507174e-05,7.0
DJIA,YangZhang,22,Transformer,-8.488331585808599,8.570149531860228e-05,4.3131313706457645e-05,3.0
DJIA,YangZhang,22,PatchTST_lite,-8.460768826467794,7.282020456283025e-05,3.8903782218717096e-05,6.0
